Rooms,Type,Method,Distance,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Regionname,Propertycount
2,h,S,2.5,2.0,2.0,2.0,98.0,128.0,1920.0,Yarra,Northern Metropolitan,4019.0
4,h,S,2.5,4.0,3.0,1.0,0.0,124.0,1970.0,Yarra,Northern Metropolitan,4019.0
3,h,S,2.5,3.0,2.0,2.0,147.0,18.0,1970.0,Yarra,Northern Metropolitan,4019.0
3,h,S,2.5,3.0,1.0,1.0,168.0,124.0,1950.0,Yarra,Northern Metropolitan,4019.0
1,u,S,2.5,1.0,1.0,1.0,0.0,50.0,2013.0,Yarra,Northern Metropolitan,4019.0
2,h,S,2.5,2.0,1.0,0.0,162.0,91.0,1900.0,Yarra,Northern Metropolitan,4019.0
3,h,SP,2.5,3.0,2.0,1.0,120.0,128.0,1998.0,Yarra,Northern Metropolitan,4019.0
2,h,S,2.5,2.0,1.0,0.0,182.0,82.0,1900.0,Yarra,Northern Metropolitan,4019.0
2,h,S,2.5,2.0,1.0,1.0,172.0,81.0,1930.0,Yarra,Northern Metropolitan,4019.0
3,t,PI,13.5,3.0,2.0,1.0,303.0,225.0,2016.0,Moonee Valley,Western Metropolitan,3464.0
3,h,VB,13.5,3.0,2.0,1.0,0.0,145.0,1965.0,Moonee Valley,Western Metropolitan,3464.0
3,h,SP,13.5,3.0,2.0,1.0,0.0,145.0,1965.0,Moonee Valley,Western Metropolitan,3464.0
2,h,S,13.5,2.0,1.0,1.0,272.0,84.0,1950.0,Moonee Valley,Western Metropolitan,3464.0
3,t,S,13.5,3.0,2.0,2.0,239.0,134.0,2009.0,Moonee Valley,Western Metropolitan,3464.0
3,h,S,13.5,2.0,1.0,1.0,290.0,116.0,1980.0,Moonee Valley,Western Metropolitan,3464.0
2,u,VB,13.5,2.0,1.0,1.0,168.0,86.0,2011.0,Moonee Valley,Western Metropolitan,3464.0
3,h,S,13.5,2.0,1.0,1.0,620.0,124.0,1970.0,Moonee Valley,Western Metropolitan,3464.0
4,h,S,13.5,3.0,1.0,2.0,597.0,127.0,1970.0,Moonee Valley,Western Metropolitan,3464.0
6,h,SP,13.5,6.0,3.0,2.0,976.0,186.0,1980.0,Moonee Valley,Western Metropolitan,3464.0
2,t,S,13.5,2.0,1.0,1.0,110.0,90.0,2015.0,Moonee Valley,Western Metropolitan,3464.0
2,u,S,13.5,2.0,1.0,1.0,141.0,73.0,2013.0,Moonee Valley,Western Metropolitan,3464.0
2,u,S,13.5,2.0,1.0,1.0,120.0,94.0,2012.0,Moonee Valley,Western Metropolitan,3464.0
3,h,PI,13.5,3.0,1.0,6.0,1063.0,133.0,1975.0,Moonee Valley,Western Metropolitan,3464.0
3,h,S,13.5,3.0,1.0,1.0,0.0,105.0,1950.0,Moonee Valley,Western Metropolitan,3464.0
3,u,S,13.5,3.0,1.0,1.0,265.0,130.0,1993.0,Moonee Valley,Western Metropolitan,3464.0
2,u,S,13.5,2.0,1.0,1.0,192.0,124.0,1970.0,Moonee Valley,Western Metropolitan,3464.0
5,h,PI,13.5,3.0,2.0,2.0,596.0,124.0,1970.0,Moonee Valley,Western Metropolitan,3464.0
3,t,PI,13.5,3.0,2.0,2.0,165.0,133.0,2009.0,Moonee Valley,Western Metropolitan,3464.0
3,h,S,13.5,3.0,1.0,2.0,971.0,113.0,1960.0,Moonee Valley,Western Metropolitan,3464.0
2,u,S,13.5,2.0,1.0,1.0,164.0,124.0,2003.0,Moonee Valley,Western Metropolitan,3464.0
3,h,SP,13.5,3.0,2.0,2.0,657.0,124.0,1970.0,Moonee Valley,Western Metropolitan,3464.0
2,h,S,13.5,2.0,1.0,1.0,612.0,100.0,1975.0,Moonee Valley,Western Metropolitan,3464.0
3,h,S,13.5,3.0,2.0,5.0,612.0,174.0,1950.0,Moonee Valley,Western Metropolitan,3464.0
3,h,S,13.5,3.0,1.0,1.0,775.0,124.0,1970.0,Moonee Valley,Western Metropolitan,3464.0
4,h,S,13.5,5.0,3.0,4.0,531.0,309.0,1980.0,Moonee Valley,Western Metropolitan,3464.0
3,h,PI,13.5,3.0,3.0,2.0,555.0,192.0,1980.0,Moonee Valley,Western Metropolitan,3464.0
3,h,S,13.5,3.0,2.0,2.0,422.0,126.0,1995.0,Moonee Valley,Western Metropolitan,3464.0
3,h,S,13.5,3.0,1.0,3.0,614.0,124.0,1970.0,Moonee Valley,Western Metropolitan,3464.0
3,t,SP,13.5,2.0,2.0,1.0,161.0,101.0,2010.0,Moonee Valley,Western Metropolitan,3464.0
3,t,SP,13.5,3.0,2.0,1.0,293.0,102.0,1960.0,Moonee Valley,Western Metropolitan,3464.0
3,h,S,13.5,3.0,1.0,1.0,579.0,113.0,1975.0,Moonee Valley,Western Metropolitan,3464.0
3,h,S,13.5,3.0,1.0,1.0,623.0,124.0,1970.0,Moonee Valley,Western Metropolitan,3464.0
2,u,S,13.5,2.0,1.0,1.0,141.0,76.0,1970.0,Moonee Valley,Western Metropolitan,3464.0
3,h,S,13.5,3.0,2.0,1.0,212.0,124.0,1970.0,Moonee Valley,Western Metropolitan,3464.0
3,h,S,13.5,3.0,1.0,2.0,612.0,124.0,1970.0,Moonee Valley,Western Metropolitan,3464.0
4,h,S,13.5,4.0,3.0,2.0,532.0,124.0,1970.0,Moonee Valley,Western Metropolitan,3464.0
3,h,PI,13.5,3.0,1.0,1.0,585.0,124.0,1970.0,Moonee Valley,Western Metropolitan,3464.0
4,h,S,13.5,4.0,1.0,2.0,509.0,124.0,1970.0,Moonee Valley,Western Metropolitan,3464.0
4,h,S,13.5,4.0,2.0,3.0,628.0,146.0,1975.0,Moonee Valley,Western Metropolitan,3464.0
2,h,S,3.3,2.0,1.0,0.0,120.0,82.0,1900.0,Port Phillip,Southern Metropolitan,3280.0
2,h,S,3.3,2.0,1.0,0.0,159.0,124.0,1970.0,Port Phillip,Southern Metropolitan,3280.0
3,h,PI,3.3,3.0,2.0,0.0,211.0,198.0,1890.0,Port Phillip,Southern Metropolitan,3280.0
3,h,S,3.3,3.0,2.0,0.0,128.0,133.0,1890.0,Port Phillip,Southern Metropolitan,3280.0
2,h,S,3.3,2.0,1.0,0.0,130.0,81.0,1900.0,Port Phillip,Southern Metropolitan,3280.0
2,h,S,3.3,1.0,1.0,0.0,147.0,124.0,1900.0,Port Phillip,Southern Metropolitan,3280.0
2,h,S,3.3,2.0,1.0,1.0,167.0,124.0,1970.0,Port Phillip,Southern Metropolitan,3280.0
4,h,S,3.3,4.0,2.0,1.0,153.0,180.0,1880.0,Port Phillip,Southern Metropolitan,3280.0
3,t,VB,3.3,3.0,2.0,2.0,718.0,124.0,1970.0,Port Phillip,Southern Metropolitan,3280.0
3,h,VB,3.3,3.0,2.0,1.0,132.0,159.0,1996.0,Port Phillip,Southern Metropolitan,3280.0
2,h,S,3.3,2.0,1.0,1.0,199.0,107.0,1900.0,Port Phillip,Southern Metropolitan,3280.0
3,h,VB,3.3,3.0,1.0,1.0,253.0,124.0,1970.0,Port Phillip,Southern Metropolitan,3280.0
3,h,S,3.3,3.0,2.0,1.0,90.0,122.0,1900.0,Port Phillip,Southern Metropolitan,3280.0
2,h,PI,3.3,2.0,1.0,0.0,240.0,124.0,1970.0,Port Phillip,Southern Metropolitan,3280.0
3,h,S,3.3,3.0,2.0,1.0,177.0,181.0,1880.0,Port Phillip,Southern Metropolitan,3280.0
5,h,S,3.3,5.0,2.0,1.0,237.0,124.0,1970.0,Port Phillip,Southern Metropolitan,3280.0
3,h,S,3.3,3.0,1.0,0.0,129.0,124.0,1970.0,Port Phillip,Southern Metropolitan,3280.0
3,h,S,3.3,3.0,2.0,2.0,0.0,85.0,2000.0,Port Phillip,Southern Metropolitan,3280.0
2,h,S,3.3,2.0,1.0,0.0,288.0,124.0,1970.0,Port Phillip,Southern Metropolitan,3280.0
3,h,S,3.3,3.0,2.0,1.0,228.0,124.0,1970.0,Port Phillip,Southern Metropolitan,3280.0
2,h,S,3.3,2.0,1.0,0.0,149.0,98.0,1890.0,Port Phillip,Southern Metropolitan,3280.0
2,h,S,3.3,2.0,1.0,0.0,141.0,83.0,1890.0,Port Phillip,Southern Metropolitan,3280.0
3,h,VB,3.3,3.0,2.0,1.0,211.0,147.0,1900.0,Port Phillip,Southern Metropolitan,3280.0
3,h,S,3.3,3.0,1.0,0.0,209.0,124.0,1900.0,Port Phillip,Southern Metropolitan,3280.0
3,h,S,3.3,3.0,2.0,0.0,147.0,146.0,1890.0,Port Phillip,Southern Metropolitan,3280.0
4,h,VB,3.3,4.0,3.0,1.0,327.0,254.0,1910.0,Port Phillip,Southern Metropolitan,3280.0
2,u,S,3.3,2.0,1.0,1.0,0.0,124.0,1970.0,Port Phillip,Southern Metropolitan,3280.0
3,h,SP,3.3,2.0,1.0,1.0,120.0,123.0,1900.0,Port Phillip,Southern Metropolitan,3280.0
3,h,PI,3.3,3.0,1.0,1.0,238.0,131.0,1890.0,Port Phillip,Southern Metropolitan,3280.0
1,u,S,3.3,1.0,1.0,0.0,0.0,34.0,1970.0,Port Phillip,Southern Metropolitan,3280.0
4,h,S,3.3,4.0,2.0,1.0,330.0,207.0,1910.0,Port Phillip,Southern Metropolitan,3280.0
2,h,S,3.3,2.0,1.0,0.0,136.0,124.0,1970.0,Port Phillip,Southern Metropolitan,3280.0
3,h,S,3.3,3.0,1.0,1.0,202.0,124.0,1970.0,Port Phillip,Southern Metropolitan,3280.0
3,h,S,3.3,3.0,3.0,1.0,0.0,124.0,1970.0,Port Phillip,Southern Metropolitan,3280.0
3,h,S,3.3,3.0,2.0,2.0,325.0,124.0,1970.0,Port Phillip,Southern Metropolitan,3280.0
4,h,S,3.3,3.0,2.0,1.0,183.0,145.0,1880.0,Port Phillip,Southern Metropolitan,3280.0
2,h,S,3.3,2.0,1.0,1.0,162.0,124.0,1970.0,Port Phillip,Southern Metropolitan,3280.0
2,h,S,3.3,2.0,1.0,0.0,79.0,68.0,1890.0,Port Phillip,Southern Metropolitan,3280.0
3,h,S,3.3,3.0,2.0,0.0,152.0,124.0,1970.0,Port Phillip,Southern Metropolitan,3280.0
3,h,PI,3.3,3.0,2.0,2.0,147.0,134.0,1890.0,Port Phillip,Southern Metropolitan,3280.0
3,h,VB,3.3,3.0,3.0,1.0,0.0,124.0,1970.0,Port Phillip,Southern Metropolitan,3280.0
1,h,S,3.3,1.0,1.0,0.0,81.0,54.0,1900.0,Port Phillip,Southern Metropolitan,3280.0
4,h,S,6.4,3.0,2.0,4.0,853.0,263.0,1930.0,Darebin,Northern Metropolitan,2211.0
3,h,S,6.4,3.0,2.0,2.0,208.0,124.0,2013.0,Yarra,Northern Metropolitan,2211.0
3,h,S,6.4,3.0,2.0,2.0,411.0,124.0,1970.0,Darebin,Northern Metropolitan,2211.0
4,h,S,6.4,4.0,2.0,1.0,599.0,203.0,1925.0,Darebin,Northern Metropolitan,2211.0
5,h,S,6.4,5.0,4.0,4.0,809.0,165.0,1910.0,Darebin,Northern Metropolitan,2211.0
2,u,S,6.4,2.0,1.0,1.0,88.0,60.0,1960.0,Darebin,Northern Metropolitan,2211.0
2,t,S,6.4,2.0,2.0,3.0,155.0,140.0,2004.0,Darebin,Northern Metropolitan,2211.0
2,u,S,6.4,2.0,1.0,1.0,0.0,124.0,1970.0,Darebin,Northern Metropolitan,2211.0
3,h,PI,6.4,3.0,3.0,2.0,686.0,124.0,1970.0,Darebin,Northern Metropolitan,2211.0
3,h,S,6.4,3.0,1.0,2.0,592.0,124.0,1970.0,Darebin,Northern Metropolitan,2211.0
2,u,S,6.4,2.0,1.0,1.0,183.0,124.0,1970.0,Darebin,Northern Metropolitan,2211.0
4,h,S,6.4,4.0,2.0,2.0,606.0,112.0,1970.0,Darebin,Northern Metropolitan,2211.0
4,h,S,6.4,4.0,2.0,2.0,575.0,271.0,2008.0,Darebin,Northern Metropolitan,2211.0
3,h,SP,6.4,3.0,1.0,1.0,180.0,131.0,2010.0,Darebin,Northern Metropolitan,2211.0
2,u,VB,6.4,2.0,1.0,1.0,0.0,60.0,1960.0,Darebin,Northern Metropolitan,2211.0
2,t,SP,6.4,0.0,1.0,0.0,0.0,124.0,1970.0,Yarra,Northern Metropolitan,2211.0
2,u,S,6.4,2.0,1.0,1.0,0.0,61.0,1965.0,Darebin,Northern Metropolitan,2211.0
3,h,S,6.4,3.0,1.0,2.0,979.0,124.0,1970.0,Yarra,Northern Metropolitan,2211.0
4,h,SP,6.4,4.0,2.0,2.0,556.0,272.0,1930.0,Yarra,Northern Metropolitan,2211.0
3,h,SP,6.4,3.0,0.0,0.0,597.0,124.0,1970.0,Darebin,Northern Metropolitan,2211.0
4,h,S,6.4,4.0,2.0,3.0,589.0,210.0,1920.0,Darebin,Northern Metropolitan,2211.0
3,h,VB,13.8,3.0,2.0,1.0,352.0,242.0,2015.0,Hobsons Bay,Western Metropolitan,5301.0
5,h,S,13.8,5.0,3.0,3.0,729.0,268.0,2005.0,Hobsons Bay,Western Metropolitan,5301.0
2,t,S,13.8,2.0,1.0,2.0,292.0,125.0,2013.0,Hobsons Bay,Western Metropolitan,5301.0
3,h,S,13.8,3.0,1.0,2.0,506.0,120.0,1930.0,Hobsons Bay,Western Metropolitan,5301.0
4,h,PI,13.8,4.0,1.0,4.0,655.0,124.0,1970.0,Hobsons Bay,Western Metropolitan,5301.0
4,h,SP,13.8,4.0,3.0,6.0,1057.0,220.0,1962.0,Hobsons Bay,Western Metropolitan,5301.0
3,u,S,13.8,2.0,1.0,2.0,311.0,94.0,1955.0,Hobsons Bay,Western Metropolitan,5301.0
2,u,SP,13.8,2.0,1.0,1.0,65.0,124.0,1970.0,Hobsons Bay,Western Metropolitan,5301.0
3,h,VB,13.8,3.0,1.0,1.0,602.0,123.0,1955.0,Hobsons Bay,Western Metropolitan,5301.0
3,h,S,13.8,3.0,1.0,1.0,530.0,124.0,1970.0,Hobsons Bay,Western Metropolitan,5301.0
2,u,S,13.8,2.0,1.0,1.0,225.0,93.0,1988.0,Hobsons Bay,Western Metropolitan,5301.0
3,h,S,13.8,3.0,1.0,4.0,777.0,22.0,1953.0,Hobsons Bay,Western Metropolitan,5301.0
3,t,SP,13.8,3.0,2.0,2.0,280.0,124.0,1997.0,Hobsons Bay,Western Metropolitan,5301.0
2,u,S,13.8,2.0,1.0,1.0,127.0,76.0,1990.0,Hobsons Bay,Western Metropolitan,5301.0
4,h,S,13.8,4.0,2.0,2.0,695.0,124.0,1970.0,Hobsons Bay,Western Metropolitan,5301.0
2,u,S,13.8,2.0,1.0,2.0,115.0,57.0,1980.0,Hobsons Bay,Western Metropolitan,5301.0
3,u,S,13.8,3.0,2.0,2.0,230.0,124.0,1970.0,Hobsons Bay,Western Metropolitan,5301.0
3,t,S,13.8,3.0,2.0,2.0,197.0,152.0,1970.0,Hobsons Bay,Western Metropolitan,5301.0
2,u,SP,13.8,2.0,1.0,1.0,0.0,65.0,1965.0,Hobsons Bay,Western Metropolitan,5301.0
2,u,SP,13.8,2.0,1.0,1.0,0.0,124.0,1970.0,Hobsons Bay,Western Metropolitan,5301.0
4,h,S,13.8,4.0,1.0,2.0,745.0,130.0,1950.0,Hobsons Bay,Western Metropolitan,5301.0
3,t,SP,13.8,3.0,2.0,2.0,211.0,176.0,1970.0,Hobsons Bay,Western Metropolitan,5301.0
3,u,SP,13.8,3.0,2.0,1.0,69.0,141.0,2014.0,Hobsons Bay,Western Metropolitan,5301.0
3,h,S,13.8,3.0,1.0,4.0,625.0,124.0,1960.0,Hobsons Bay,Western Metropolitan,5301.0
2,u,SP,13.8,2.0,1.0,1.0,168.0,124.0,1970.0,Hobsons Bay,Western Metropolitan,5301.0
2,u,S,13.8,2.0,1.0,1.0,137.0,77.0,1990.0,Hobsons Bay,Western Metropolitan,5301.0
3,u,SP,13.8,3.0,2.0,1.0,70.0,124.0,1970.0,Hobsons Bay,Western Metropolitan,5301.0
3,h,S,13.8,3.0,1.0,2.0,606.0,87.0,1950.0,Hobsons Bay,Western Metropolitan,5301.0
2,u,PI,13.8,2.0,2.0,1.0,175.0,76.0,2013.0,Hobsons Bay,Western Metropolitan,5301.0
3,h,S,13.8,3.0,1.0,2.0,363.0,124.0,1970.0,Hobsons Bay,Western Metropolitan,5301.0
3,h,SP,13.8,3.0,2.0,2.0,534.0,136.0,1965.0,Hobsons Bay,Western Metropolitan,5301.0
3,h,S,13.8,3.0,1.0,2.0,724.0,124.0,1970.0,Hobsons Bay,Western Metropolitan,5301.0
3,t,S,13.8,3.0,2.0,0.0,265.0,124.0,1970.0,Hobsons Bay,Western Metropolitan,5301.0
3,h,PI,13.8,3.0,3.0,1.0,577.0,124.0,1970.0,Hobsons Bay,Western Metropolitan,5301.0
3,u,S,13.8,3.0,2.0,1.0,205.0,113.0,2007.0,Hobsons Bay,Western Metropolitan,5301.0
4,h,S,13.8,4.0,1.0,0.0,797.0,124.0,1970.0,Hobsons Bay,Western Metropolitan,5301.0
3,u,S,13.8,3.0,1.0,2.0,181.0,124.0,1970.0,Hobsons Bay,Western Metropolitan,5301.0
3,h,S,13.8,3.0,2.0,2.0,529.0,124.0,1970.0,Hobsons Bay,Western Metropolitan,5301.0
2,h,SP,13.8,2.0,2.0,1.0,675.0,100.0,1950.0,Hobsons Bay,Western Metropolitan,5301.0
3,h,S,13.8,3.0,1.0,1.0,929.0,124.0,1970.0,Hobsons Bay,Western Metropolitan,5301.0
3,u,SP,13.8,3.0,2.0,1.0,70.0,3.0,2014.0,Hobsons Bay,Western Metropolitan,5301.0
3,h,S,13.8,3.0,1.0,4.0,697.0,124.0,1970.0,Hobsons Bay,Western Metropolitan,5301.0
3,h,S,13.8,3.0,1.0,2.0,604.0,124.0,1970.0,Hobsons Bay,Western Metropolitan,5301.0
4,h,S,13.8,4.0,2.0,3.0,532.0,124.0,1970.0,Hobsons Bay,Western Metropolitan,5301.0
2,h,SP,13.8,2.0,1.0,1.0,154.0,91.0,1996.0,Hobsons Bay,Western Metropolitan,5301.0
5,h,S,11.1,5.0,3.0,6.0,592.0,251.0,1965.0,Hobsons Bay,Western Metropolitan,5132.0
3,h,S,11.1,3.0,1.0,2.0,533.0,117.0,1970.0,Hobsons Bay,Western Metropolitan,5132.0
3,h,SP,11.1,3.0,1.0,3.0,554.0,124.0,1970.0,Hobsons Bay,Western Metropolitan,5132.0
2,t,S,11.1,2.0,1.0,1.0,77.0,77.0,2009.0,Hobsons Bay,Western Metropolitan,5132.0
3,h,S,11.1,3.0,1.0,3.0,655.0,124.0,1970.0,Hobsons Bay,Western Metropolitan,5132.0
3,h,S,11.1,3.0,1.0,2.0,534.0,167.0,1967.0,Hobsons Bay,Western Metropolitan,5132.0
3,h,S,11.1,3.0,1.0,3.0,540.0,124.0,1970.0,Hobsons Bay,Western Metropolitan,5132.0
3,h,VB,11.1,3.0,2.0,1.0,0.0,130.0,2012.0,Hobsons Bay,Western Metropolitan,5132.0
3,h,S,11.1,3.0,1.0,1.0,328.0,118.0,1970.0,Hobsons Bay,Western Metropolitan,5132.0
3,h,PI,11.1,3.0,1.0,3.0,540.0,116.0,1960.0,Hobsons Bay,Western Metropolitan,5132.0
4,h,SP,11.1,3.0,1.0,4.0,559.0,169.0,1965.0,Hobsons Bay,Western Metropolitan,5132.0
3,h,VB,11.1,3.0,1.0,3.0,554.0,124.0,1970.0,Hobsons Bay,Western Metropolitan,5132.0
2,t,S,11.1,2.0,1.0,1.0,252.0,124.0,1965.0,Hobsons Bay,Western Metropolitan,5132.0
4,h,SP,11.1,4.0,1.0,4.0,558.0,124.0,1970.0,Hobsons Bay,Western Metropolitan,5132.0
3,h,S,11.1,3.0,2.0,2.0,171.0,109.0,2012.0,Hobsons Bay,Western Metropolitan,5132.0
3,h,S,11.1,3.0,1.0,2.0,585.0,97.0,1960.0,Hobsons Bay,Western Metropolitan,5132.0
4,h,SP,11.1,4.0,1.0,4.0,851.0,124.0,1970.0,Hobsons Bay,Western Metropolitan,5132.0
3,h,S,11.1,3.0,1.0,3.0,551.0,124.0,1970.0,Hobsons Bay,Western Metropolitan,5132.0
3,h,SP,11.1,3.0,1.0,3.0,602.0,542.7379831704303,1970.0,Hobsons Bay,Western Metropolitan,5132.0
3,h,S,11.1,3.0,1.0,2.0,740.0,124.0,1970.0,Hobsons Bay,Western Metropolitan,5132.0
4,h,SP,11.1,4.0,2.0,4.0,315.0,170.0,2008.0,Hobsons Bay,Western Metropolitan,5132.0
3,h,SP,11.1,5.0,2.0,2.0,276.0,100.0,2010.0,Hobsons Bay,Western Metropolitan,5132.0
3,h,S,11.1,3.0,1.0,1.0,531.0,157.0,1960.0,Hobsons Bay,Western Metropolitan,5132.0
3,h,S,11.1,3.0,2.0,1.0,590.0,160.0,1950.0,Hobsons Bay,Western Metropolitan,5132.0
3,h,S,11.1,3.0,1.0,4.0,715.0,124.0,2008.0,Hobsons Bay,Western Metropolitan,5132.0
3,h,S,11.1,3.0,1.0,2.0,561.0,124.0,1970.0,Hobsons Bay,Western Metropolitan,5132.0
2,h,S,11.1,2.0,1.0,2.0,691.0,124.0,1970.0,Hobsons Bay,Western Metropolitan,5132.0
3,h,S,11.1,3.0,2.0,3.0,555.0,130.0,1960.0,Hobsons Bay,Western Metropolitan,5132.0
4,h,S,11.1,4.0,1.0,2.0,708.0,124.0,1970.0,Hobsons Bay,Western Metropolitan,5132.0
4,h,S,11.1,4.0,1.0,3.0,668.0,124.0,1970.0,Hobsons Bay,Western Metropolitan,5132.0
4,t,S,11.1,4.0,3.0,1.0,252.0,124.0,1970.0,Hobsons Bay,Western Metropolitan,5132.0
4,h,SP,11.1,4.0,1.0,4.0,633.0,158.0,1960.0,Hobsons Bay,Western Metropolitan,5132.0
3,h,SP,11.1,3.0,1.0,1.0,557.0,124.0,1970.0,Hobsons Bay,Western Metropolitan,5132.0
3,h,PI,11.1,3.0,1.0,1.0,536.0,124.0,1970.0,Hobsons Bay,Western Metropolitan,5132.0
2,u,S,11.1,2.0,1.0,1.0,153.0,70.0,1970.0,Hobsons Bay,Western Metropolitan,5132.0
2,u,S,6.3,2.0,1.0,1.0,0.0,76.0,1964.0,Stonnington,Southern Metropolitan,4836.0
2,u,VB,6.3,2.0,1.0,0.0,861.0,124.0,1970.0,Stonnington,Southern Metropolitan,4836.0
3,u,S,6.3,3.0,2.0,2.0,0.0,100.0,1998.0,Stonnington,Southern Metropolitan,4836.0
3,t,S,6.3,3.0,2.0,2.0,101.0,105.0,2000.0,Stonnington,Southern Metropolitan,4836.0
3,h,S,6.3,3.0,2.0,2.0,296.0,150.0,1889.0,Stonnington,Southern Metropolitan,4836.0
1,u,S,6.3,1.0,1.0,0.0,0.0,124.0,1970.0,Stonnington,Southern Metropolitan,4836.0
3,h,S,6.3,3.0,1.0,1.0,217.0,116.0,1888.0,Stonnington,Southern Metropolitan,4836.0
2,u,S,6.3,2.0,1.0,2.0,0.0,124.0,1970.0,Stonnington,Southern Metropolitan,4836.0
3,t,SP,6.3,3.0,2.0,2.0,0.0,165.0,1995.0,Stonnington,Southern Metropolitan,4836.0
2,u,SP,6.3,2.0,1.0,1.0,0.0,124.0,1970.0,Stonnington,Southern Metropolitan,4836.0
3,h,S,6.3,3.0,2.0,1.0,205.0,116.0,1910.0,Stonnington,Southern Metropolitan,4836.0
2,u,VB,6.3,2.0,1.0,2.0,0.0,124.0,1970.0,Stonnington,Southern Metropolitan,4836.0
2,u,S,6.3,3.0,2.0,2.0,0.0,124.0,2006.0,Stonnington,Southern Metropolitan,4836.0
4,h,VB,6.3,4.0,2.0,2.0,1581.0,124.0,1934.0,Stonnington,Southern Metropolitan,4836.0
5,h,PI,6.3,8.0,2.0,2.0,693.0,124.0,1970.0,Stonnington,Southern Metropolitan,4836.0
3,u,PI,6.3,3.0,2.0,1.0,2113.0,14.0,1970.0,Stonnington,Southern Metropolitan,4836.0
2,u,S,6.3,2.0,1.0,1.0,0.0,124.0,1970.0,Stonnington,Southern Metropolitan,4836.0
3,t,S,6.3,2.0,2.0,2.0,246.0,124.0,1970.0,Stonnington,Southern Metropolitan,4836.0
2,u,S,6.3,3.0,1.0,1.0,0.0,124.0,1960.0,Stonnington,Southern Metropolitan,4836.0
1,h,SP,6.3,2.0,2.0,1.0,144.0,107.0,1900.0,Stonnington,Southern Metropolitan,4836.0
1,u,PI,6.3,1.0,1.0,1.0,0.0,38.0,1975.0,Stonnington,Southern Metropolitan,4836.0
