Rooms,Distance,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,Propertycount,Type,Method,CouncilArea,Regionname
3,13.5,3.0,2.0,2.0,239.0,134.0,2009.0,3464.0,1,1,21,6
3,13.5,2.0,1.0,1.0,290.0,116.0,1980.0,3464.0,0,1,21,6
2,13.5,2.0,1.0,1.0,168.0,86.0,2011.0,3464.0,2,4,21,6
3,13.5,2.0,1.0,1.0,620.0,124.0,1970.0,3464.0,0,1,21,6
4,13.5,3.0,1.0,2.0,597.0,127.0,1970.0,3464.0,0,1,21,6
6,13.5,6.0,3.0,2.0,976.0,186.0,1980.0,3464.0,0,3,21,6
2,13.5,2.0,1.0,1.0,110.0,90.0,2015.0,3464.0,1,1,21,6
2,13.5,2.0,1.0,1.0,141.0,73.0,2013.0,3464.0,2,1,21,6
2,13.5,2.0,1.0,1.0,120.0,94.0,2012.0,3464.0,2,1,21,6
3,13.5,3.0,1.0,6.0,1063.0,133.0,1975.0,3464.0,0,0,21,6
3,13.5,3.0,1.0,1.0,0.0,105.0,1950.0,3464.0,0,1,21,6
3,13.5,3.0,1.0,1.0,265.0,130.0,1993.0,3464.0,2,1,21,6
2,13.5,2.0,1.0,1.0,192.0,124.0,1970.0,3464.0,2,1,21,6
5,13.5,3.0,2.0,2.0,596.0,124.0,1970.0,3464.0,0,0,21,6
3,13.5,3.0,2.0,2.0,165.0,133.0,2009.0,3464.0,1,0,21,6
3,13.5,3.0,1.0,2.0,971.0,113.0,1960.0,3464.0,0,1,21,6
2,13.5,2.0,1.0,1.0,164.0,124.0,2003.0,3464.0,2,1,21,6
3,13.5,3.0,2.0,2.0,657.0,124.0,1970.0,3464.0,0,3,21,6
2,13.5,2.0,1.0,1.0,612.0,100.0,1975.0,3464.0,0,1,21,6
3,13.5,3.0,2.0,5.0,612.0,174.0,1950.0,3464.0,0,1,21,6
3,13.5,3.0,1.0,1.0,775.0,124.0,1970.0,3464.0,0,1,21,6
4,13.5,5.0,3.0,4.0,531.0,309.0,1980.0,3464.0,0,1,21,6
3,13.5,3.0,3.0,2.0,555.0,192.0,1980.0,3464.0,0,0,21,6
3,13.5,3.0,2.0,2.0,422.0,126.0,1995.0,3464.0,0,1,21,6
3,13.5,3.0,1.0,3.0,614.0,124.0,1970.0,3464.0,0,1,21,6
3,13.5,2.0,2.0,1.0,161.0,101.0,2010.0,3464.0,1,3,21,6
3,13.5,3.0,2.0,1.0,293.0,102.0,1960.0,3464.0,1,3,21,6
3,13.5,3.0,1.0,1.0,579.0,113.0,1975.0,3464.0,0,1,21,6
3,13.5,3.0,1.0,1.0,623.0,124.0,1970.0,3464.0,0,1,21,6
2,13.5,2.0,1.0,1.0,141.0,76.0,1970.0,3464.0,2,1,21,6
3,13.5,3.0,2.0,1.0,212.0,124.0,1970.0,3464.0,0,1,21,6
3,13.5,3.0,1.0,2.0,612.0,124.0,1970.0,3464.0,0,1,21,6
4,13.5,4.0,3.0,2.0,532.0,124.0,1970.0,3464.0,0,1,21,6
3,13.5,3.0,1.0,1.0,585.0,124.0,1970.0,3464.0,0,0,21,6
4,13.5,4.0,1.0,2.0,509.0,124.0,1970.0,3464.0,0,1,21,6
4,13.5,4.0,2.0,3.0,628.0,146.0,1975.0,3464.0,0,1,21,6
2,3.3,2.0,1.0,0.0,120.0,82.0,1900.0,3280.0,0,1,25,5
2,3.3,2.0,1.0,0.0,159.0,124.0,1970.0,3280.0,0,1,25,5
3,3.3,3.0,2.0,0.0,211.0,198.0,1890.0,3280.0,0,0,25,5
3,3.3,3.0,2.0,0.0,128.0,133.0,1890.0,3280.0,0,1,25,5
2,3.3,2.0,1.0,0.0,130.0,81.0,1900.0,3280.0,0,1,25,5
2,3.3,1.0,1.0,0.0,147.0,124.0,1900.0,3280.0,0,1,25,5
2,3.3,2.0,1.0,1.0,167.0,124.0,1970.0,3280.0,0,1,25,5
4,3.3,4.0,2.0,1.0,153.0,180.0,1880.0,3280.0,0,1,25,5
3,3.3,3.0,2.0,2.0,718.0,124.0,1970.0,3280.0,1,4,25,5
3,3.3,3.0,2.0,1.0,132.0,159.0,1996.0,3280.0,0,4,25,5
2,3.3,2.0,1.0,1.0,199.0,107.0,1900.0,3280.0,0,1,25,5
3,3.3,3.0,1.0,1.0,253.0,124.0,1970.0,3280.0,0,4,25,5
3,3.3,3.0,2.0,1.0,90.0,122.0,1900.0,3280.0,0,1,25,5
2,3.3,2.0,1.0,0.0,240.0,124.0,1970.0,3280.0,0,0,25,5
3,3.3,3.0,2.0,1.0,177.0,181.0,1880.0,3280.0,0,1,25,5
5,3.3,5.0,2.0,1.0,237.0,124.0,1970.0,3280.0,0,1,25,5
3,3.3,3.0,1.0,0.0,129.0,124.0,1970.0,3280.0,0,1,25,5
3,3.3,3.0,2.0,2.0,0.0,85.0,2000.0,3280.0,0,1,25,5
2,3.3,2.0,1.0,0.0,288.0,124.0,1970.0,3280.0,0,1,25,5
3,3.3,3.0,2.0,1.0,228.0,124.0,1970.0,3280.0,0,1,25,5
2,3.3,2.0,1.0,0.0,149.0,98.0,1890.0,3280.0,0,1,25,5
2,3.3,2.0,1.0,0.0,141.0,83.0,1890.0,3280.0,0,1,25,5
3,3.3,3.0,2.0,1.0,211.0,147.0,1900.0,3280.0,0,4,25,5
3,3.3,3.0,1.0,0.0,209.0,124.0,1900.0,3280.0,0,1,25,5
3,3.3,3.0,2.0,0.0,147.0,146.0,1890.0,3280.0,0,1,25,5
4,3.3,4.0,3.0,1.0,327.0,254.0,1910.0,3280.0,0,4,25,5
2,3.3,2.0,1.0,1.0,0.0,124.0,1970.0,3280.0,2,1,25,5
3,3.3,2.0,1.0,1.0,120.0,123.0,1900.0,3280.0,0,3,25,5
3,3.3,3.0,1.0,1.0,238.0,131.0,1890.0,3280.0,0,0,25,5
1,3.3,1.0,1.0,0.0,0.0,34.0,1970.0,3280.0,2,1,25,5
4,3.3,4.0,2.0,1.0,330.0,207.0,1910.0,3280.0,0,1,25,5
2,3.3,2.0,1.0,0.0,136.0,124.0,1970.0,3280.0,0,1,25,5
3,3.3,3.0,1.0,1.0,202.0,124.0,1970.0,3280.0,0,1,25,5
3,3.3,3.0,3.0,1.0,0.0,124.0,1970.0,3280.0,0,1,25,5
3,3.3,3.0,2.0,2.0,325.0,124.0,1970.0,3280.0,0,1,25,5
4,3.3,3.0,2.0,1.0,183.0,145.0,1880.0,3280.0,0,1,25,5
2,3.3,2.0,1.0,1.0,162.0,124.0,1970.0,3280.0,0,1,25,5
2,3.3,2.0,1.0,0.0,79.0,68.0,1890.0,3280.0,0,1,25,5
3,3.3,3.0,2.0,0.0,152.0,124.0,1970.0,3280.0,0,1,25,5
3,3.3,3.0,2.0,2.0,147.0,134.0,1890.0,3280.0,0,0,25,5
3,3.3,3.0,3.0,1.0,0.0,124.0,1970.0,3280.0,0,4,25,5
1,3.3,1.0,1.0,0.0,81.0,54.0,1900.0,3280.0,0,1,25,5
4,6.4,3.0,2.0,4.0,853.0,263.0,1930.0,2211.0,0,1,6,2
3,6.4,3.0,2.0,2.0,208.0,124.0,2013.0,2211.0,0,1,31,2
3,6.4,3.0,2.0,2.0,411.0,124.0,1970.0,2211.0,0,1,6,2
4,6.4,4.0,2.0,1.0,599.0,203.0,1925.0,2211.0,0,1,6,2
5,6.4,5.0,4.0,4.0,809.0,165.0,1910.0,2211.0,0,1,6,2
2,6.4,2.0,1.0,1.0,88.0,60.0,1960.0,2211.0,2,1,6,2
2,6.4,2.0,2.0,3.0,155.0,140.0,2004.0,2211.0,1,1,6,2
2,6.4,2.0,1.0,1.0,0.0,124.0,1970.0,2211.0,2,1,6,2
3,6.4,3.0,3.0,2.0,686.0,124.0,1970.0,2211.0,0,0,6,2
3,6.4,3.0,1.0,2.0,592.0,124.0,1970.0,2211.0,0,1,6,2
2,6.4,2.0,1.0,1.0,183.0,124.0,1970.0,2211.0,2,1,6,2
4,6.4,4.0,2.0,2.0,606.0,112.0,1970.0,2211.0,0,1,6,2
4,6.4,4.0,2.0,2.0,575.0,271.0,2008.0,2211.0,0,1,6,2
3,6.4,3.0,1.0,1.0,180.0,131.0,2010.0,2211.0,0,3,6,2
2,6.4,2.0,1.0,1.0,0.0,60.0,1960.0,2211.0,2,4,6,2
2,6.4,0.0,1.0,0.0,0.0,124.0,1970.0,2211.0,1,3,31,2
2,6.4,2.0,1.0,1.0,0.0,61.0,1965.0,2211.0,2,1,6,2
3,6.4,3.0,1.0,2.0,979.0,124.0,1970.0,2211.0,0,1,31,2
4,6.4,4.0,2.0,2.0,556.0,272.0,1930.0,2211.0,0,3,31,2
3,6.4,3.0,0.0,0.0,597.0,124.0,1970.0,2211.0,0,3,6,2
4,6.4,4.0,2.0,3.0,589.0,210.0,1920.0,2211.0,0,1,6,2
3,13.8,3.0,2.0,1.0,352.0,242.0,2015.0,5301.0,0,4,10,6
5,13.8,5.0,3.0,3.0,729.0,268.0,2005.0,5301.0,0,1,10,6
2,13.8,2.0,1.0,2.0,292.0,125.0,2013.0,5301.0,1,1,10,6
3,13.8,3.0,1.0,2.0,506.0,120.0,1930.0,5301.0,0,1,10,6
4,13.8,4.0,1.0,4.0,655.0,124.0,1970.0,5301.0,0,0,10,6
4,13.8,4.0,3.0,6.0,1057.0,220.0,1962.0,5301.0,0,3,10,6
3,13.8,2.0,1.0,2.0,311.0,94.0,1955.0,5301.0,2,1,10,6
2,13.8,2.0,1.0,1.0,65.0,124.0,1970.0,5301.0,2,3,10,6
3,13.8,3.0,1.0,1.0,602.0,123.0,1955.0,5301.0,0,4,10,6
3,13.8,3.0,1.0,1.0,530.0,124.0,1970.0,5301.0,0,1,10,6
2,13.8,2.0,1.0,1.0,225.0,93.0,1988.0,5301.0,2,1,10,6
3,13.8,3.0,1.0,4.0,777.0,22.0,1953.0,5301.0,0,1,10,6
3,13.8,3.0,2.0,2.0,280.0,124.0,1997.0,5301.0,1,3,10,6
2,13.8,2.0,1.0,1.0,127.0,76.0,1990.0,5301.0,2,1,10,6
4,13.8,4.0,2.0,2.0,695.0,124.0,1970.0,5301.0,0,1,10,6
2,13.8,2.0,1.0,2.0,115.0,57.0,1980.0,5301.0,2,1,10,6
3,13.8,3.0,2.0,2.0,230.0,124.0,1970.0,5301.0,2,1,10,6
3,13.8,3.0,2.0,2.0,197.0,152.0,1970.0,5301.0,1,1,10,6
2,13.8,2.0,1.0,1.0,0.0,65.0,1965.0,5301.0,2,3,10,6
2,13.8,2.0,1.0,1.0,0.0,124.0,1970.0,5301.0,2,3,10,6
4,13.8,4.0,1.0,2.0,745.0,130.0,1950.0,5301.0,0,1,10,6
3,13.8,3.0,2.0,2.0,211.0,176.0,1970.0,5301.0,1,3,10,6
3,13.8,3.0,2.0,1.0,69.0,141.0,2014.0,5301.0,2,3,10,6
3,13.8,3.0,1.0,4.0,625.0,124.0,1960.0,5301.0,0,1,10,6
2,13.8,2.0,1.0,1.0,168.0,124.0,1970.0,5301.0,2,3,10,6
2,13.8,2.0,1.0,1.0,137.0,77.0,1990.0,5301.0,2,1,10,6
3,13.8,3.0,2.0,1.0,70.0,124.0,1970.0,5301.0,2,3,10,6
3,13.8,3.0,1.0,2.0,606.0,87.0,1950.0,5301.0,0,1,10,6
2,13.8,2.0,2.0,1.0,175.0,76.0,2013.0,5301.0,2,0,10,6
3,13.8,3.0,1.0,2.0,363.0,124.0,1970.0,5301.0,0,1,10,6
3,13.8,3.0,2.0,2.0,534.0,136.0,1965.0,5301.0,0,3,10,6
3,13.8,3.0,1.0,2.0,724.0,124.0,1970.0,5301.0,0,1,10,6
3,13.8,3.0,2.0,0.0,265.0,124.0,1970.0,5301.0,1,1,10,6
3,13.8,3.0,3.0,1.0,577.0,124.0,1970.0,5301.0,0,0,10,6
3,13.8,3.0,2.0,1.0,205.0,113.0,2007.0,5301.0,2,1,10,6
4,13.8,4.0,1.0,0.0,797.0,124.0,1970.0,5301.0,0,1,10,6
3,13.8,3.0,1.0,2.0,181.0,124.0,1970.0,5301.0,2,1,10,6
3,13.8,3.0,2.0,2.0,529.0,124.0,1970.0,5301.0,0,1,10,6
2,13.8,2.0,2.0,1.0,675.0,100.0,1950.0,5301.0,0,3,10,6
3,13.8,3.0,1.0,1.0,929.0,124.0,1970.0,5301.0,0,1,10,6
3,13.8,3.0,2.0,1.0,70.0,3.0,2014.0,5301.0,2,3,10,6
3,13.8,3.0,1.0,4.0,697.0,124.0,1970.0,5301.0,0,1,10,6
3,13.8,3.0,1.0,2.0,604.0,124.0,1970.0,5301.0,0,1,10,6
4,13.8,4.0,2.0,3.0,532.0,124.0,1970.0,5301.0,0,1,10,6
2,13.8,2.0,1.0,1.0,154.0,91.0,1996.0,5301.0,0,3,10,6
5,11.1,5.0,3.0,6.0,592.0,251.0,1965.0,5132.0,0,1,10,6
3,11.1,3.0,1.0,2.0,533.0,117.0,1970.0,5132.0,0,1,10,6
3,11.1,3.0,1.0,3.0,554.0,124.0,1970.0,5132.0,0,3,10,6
2,11.1,2.0,1.0,1.0,77.0,77.0,2009.0,5132.0,1,1,10,6
3,11.1,3.0,1.0,3.0,655.0,124.0,1970.0,5132.0,0,1,10,6
3,11.1,3.0,1.0,2.0,534.0,167.0,1967.0,5132.0,0,1,10,6
3,11.1,3.0,1.0,3.0,540.0,124.0,1970.0,5132.0,0,1,10,6
3,11.1,3.0,2.0,1.0,0.0,130.0,2012.0,5132.0,0,4,10,6
3,11.1,3.0,1.0,1.0,328.0,118.0,1970.0,5132.0,0,1,10,6
3,11.1,3.0,1.0,3.0,540.0,116.0,1960.0,5132.0,0,0,10,6
4,11.1,3.0,1.0,4.0,559.0,169.0,1965.0,5132.0,0,3,10,6
3,11.1,3.0,1.0,3.0,554.0,124.0,1970.0,5132.0,0,4,10,6
2,11.1,2.0,1.0,1.0,252.0,124.0,1965.0,5132.0,1,1,10,6
4,11.1,4.0,1.0,4.0,558.0,124.0,1970.0,5132.0,0,3,10,6
3,11.1,3.0,2.0,2.0,171.0,109.0,2012.0,5132.0,0,1,10,6
3,11.1,3.0,1.0,2.0,585.0,97.0,1960.0,5132.0,0,1,10,6
4,11.1,4.0,1.0,4.0,851.0,124.0,1970.0,5132.0,0,3,10,6
3,11.1,3.0,1.0,3.0,551.0,124.0,1970.0,5132.0,0,1,10,6
3,11.1,3.0,1.0,3.0,602.0,542.7379831704303,1970.0,5132.0,0,3,10,6
3,11.1,3.0,1.0,2.0,740.0,124.0,1970.0,5132.0,0,1,10,6
4,11.1,4.0,2.0,4.0,315.0,170.0,2008.0,5132.0,0,3,10,6
3,11.1,5.0,2.0,2.0,276.0,100.0,2010.0,5132.0,0,3,10,6
3,11.1,3.0,1.0,1.0,531.0,157.0,1960.0,5132.0,0,1,10,6
3,11.1,3.0,2.0,1.0,590.0,160.0,1950.0,5132.0,0,1,10,6
3,11.1,3.0,1.0,4.0,715.0,124.0,2008.0,5132.0,0,1,10,6
3,11.1,3.0,1.0,2.0,561.0,124.0,1970.0,5132.0,0,1,10,6
2,11.1,2.0,1.0,2.0,691.0,124.0,1970.0,5132.0,0,1,10,6
3,11.1,3.0,2.0,3.0,555.0,130.0,1960.0,5132.0,0,1,10,6
4,11.1,4.0,1.0,2.0,708.0,124.0,1970.0,5132.0,0,1,10,6
4,11.1,4.0,1.0,3.0,668.0,124.0,1970.0,5132.0,0,1,10,6
4,11.1,4.0,3.0,1.0,252.0,124.0,1970.0,5132.0,1,1,10,6
4,11.1,4.0,1.0,4.0,633.0,158.0,1960.0,5132.0,0,3,10,6
3,11.1,3.0,1.0,1.0,557.0,124.0,1970.0,5132.0,0,3,10,6
3,11.1,3.0,1.0,1.0,536.0,124.0,1970.0,5132.0,0,0,10,6
2,11.1,2.0,1.0,1.0,153.0,70.0,1970.0,5132.0,2,1,10,6
2,6.3,2.0,1.0,1.0,0.0,76.0,1964.0,4836.0,2,1,26,5
2,6.3,2.0,1.0,0.0,861.0,124.0,1970.0,4836.0,2,4,26,5
3,6.3,3.0,2.0,2.0,0.0,100.0,1998.0,4836.0,2,1,26,5
3,6.3,3.0,2.0,2.0,101.0,105.0,2000.0,4836.0,1,1,26,5
3,6.3,3.0,2.0,2.0,296.0,150.0,1889.0,4836.0,0,1,26,5
1,6.3,1.0,1.0,0.0,0.0,124.0,1970.0,4836.0,2,1,26,5
3,6.3,3.0,1.0,1.0,217.0,116.0,1888.0,4836.0,0,1,26,5
2,6.3,2.0,1.0,2.0,0.0,124.0,1970.0,4836.0,2,1,26,5
3,6.3,3.0,2.0,2.0,0.0,165.0,1995.0,4836.0,1,3,26,5
2,6.3,2.0,1.0,1.0,0.0,124.0,1970.0,4836.0,2,3,26,5
3,6.3,3.0,2.0,1.0,205.0,116.0,1910.0,4836.0,0,1,26,5
2,6.3,2.0,1.0,2.0,0.0,124.0,1970.0,4836.0,2,4,26,5
2,6.3,3.0,2.0,2.0,0.0,124.0,2006.0,4836.0,2,1,26,5
4,6.3,4.0,2.0,2.0,1581.0,124.0,1934.0,4836.0,0,4,26,5
5,6.3,8.0,2.0,2.0,693.0,124.0,1970.0,4836.0,0,0,26,5
3,6.3,3.0,2.0,1.0,2113.0,14.0,1970.0,4836.0,2,0,26,5
2,6.3,2.0,1.0,1.0,0.0,124.0,1970.0,4836.0,2,1,26,5
3,6.3,2.0,2.0,2.0,246.0,124.0,1970.0,4836.0,1,1,26,5
2,6.3,3.0,1.0,1.0,0.0,124.0,1960.0,4836.0,2,1,26,5
1,6.3,2.0,2.0,1.0,144.0,107.0,1900.0,4836.0,0,3,26,5
1,6.3,1.0,1.0,1.0,0.0,38.0,1975.0,4836.0,2,0,26,5
1,6.3,1.0,1.0,1.0,0.0,124.0,1970.0,4836.0,2,0,26,5
2,6.3,2.0,2.0,2.0,0.0,124.0,1970.0,4836.0,0,1,26,5
2,6.3,2.0,1.0,1.0,0.0,73.0,1970.0,4836.0,2,1,26,5
2,6.3,2.0,1.0,0.0,249.0,96.0,1910.0,4836.0,0,1,26,5
4,6.3,4.0,2.0,2.0,624.0,222.0,1900.0,4836.0,0,1,26,5
1,6.3,1.0,1.0,0.0,881.0,124.0,1970.0,4836.0,2,1,26,5
3,6.3,3.0,2.0,2.0,405.0,121.0,1910.0,4836.0,0,0,26,5
4,6.3,4.0,1.0,2.0,495.0,163.0,1900.0,4836.0,0,0,26,5
1,6.3,1.0,1.0,1.0,0.0,124.0,1970.0,4836.0,2,1,26,5
6,6.3,5.0,3.0,4.0,1491.0,516.0,1935.0,4836.0,0,1,26,5
2,6.3,3.0,1.0,2.0,169.0,124.0,1970.0,4836.0,0,1,26,5
3,6.3,3.0,3.0,1.0,301.0,124.0,1970.0,4836.0,0,1,26,5
3,6.3,3.0,2.0,0.0,336.0,124.0,1970.0,4836.0,0,1,26,5
2,6.3,2.0,2.0,0.0,207.0,124.0,1970.0,4836.0,0,4,26,5
1,6.3,1.0,1.0,1.0,0.0,53.0,1970.0,4836.0,2,3,26,5
2,6.3,2.0,1.0,1.0,0.0,124.0,1966.0,4836.0,2,0,26,5
3,6.3,3.0,2.0,1.0,316.0,124.0,1970.0,4836.0,0,1,26,5
3,6.3,2.0,1.0,2.0,212.0,106.0,1900.0,4836.0,0,4,26,5
3,6.3,3.0,2.0,2.0,0.0,124.0,1970.0,4836.0,2,1,26,5
2,6.3,2.0,1.0,1.0,0.0,74.0,1969.0,4836.0,2,3,26,5
2,6.3,3.0,1.0,1.0,0.0,98.0,1970.0,4836.0,2,4,26,5
3,6.3,3.0,1.0,2.0,328.0,108.0,1900.0,4836.0,0,1,26,5
1,6.3,1.0,1.0,1.0,0.0,124.0,1970.0,4836.0,2,3,26,5
1,6.3,1.0,1.0,1.0,0.0,124.0,1970.0,4836.0,2,0,26,5
2,6.3,2.0,1.0,1.0,2471.0,80.0,1970.0,4836.0,2,1,26,5
2,6.3,2.0,1.0,1.0,1194.0,124.0,1953.0,4836.0,2,1,26,5
2,6.3,2.0,1.0,1.0,0.0,88.0,1970.0,4836.0,2,1,26,5
3,6.3,3.0,1.0,2.0,186.0,80.0,1920.0,4836.0,0,1,26,5
4,6.3,4.0,3.0,2.0,421.0,124.0,1970.0,4836.0,0,1,26,5
2,6.3,1.0,1.0,1.0,0.0,76.0,1970.0,4836.0,2,1,26,5
4,6.3,4.0,1.0,2.0,709.0,251.0,1900.0,4836.0,0,1,26,5
4,6.3,4.0,3.0,3.0,563.0,333.0,2000.0,4836.0,0,4,26,5
3,6.3,3.0,1.0,2.0,103.0,3.0,2000.0,4836.0,1,1,26,5
3,6.3,3.0,2.0,2.0,617.0,285.0,1998.0,4836.0,0,1,26,5
4,6.3,4.0,3.0,4.0,544.0,124.0,1970.0,4836.0,0,0,26,5
3,6.3,2.0,1.0,1.0,0.0,91.0,1940.0,4836.0,2,1,26,5
5,6.3,5.0,2.0,2.0,617.0,124.0,1970.0,4836.0,0,1,26,5
2,6.3,3.0,1.0,1.0,0.0,124.0,1970.0,4836.0,2,1,26,5
1,6.3,1.0,1.0,1.0,0.0,53.0,2013.0,4836.0,2,1,26,5
2,6.3,2.0,0.0,0.0,0.0,124.0,1970.0,4836.0,2,3,26,5
2,6.3,2.0,1.0,1.0,0.0,124.0,1980.0,4836.0,2,1,26,5
2,5.9,3.0,1.0,2.0,0.0,124.0,1970.0,6567.0,2,1,21,6
3,5.9,3.0,1.0,2.0,298.0,108.0,1920.0,6567.0,0,1,21,6
2,5.9,2.0,1.0,1.0,0.0,62.0,1980.0,6567.0,2,3,21,6
3,5.9,3.0,2.0,2.0,277.0,174.0,1910.0,6567.0,0,3,21,6
2,5.9,2.0,1.0,1.0,423.0,62.0,1970.0,6567.0,2,4,21,6
4,5.9,4.0,3.0,1.0,478.0,270.0,1900.0,6567.0,0,1,21,6
3,5.9,3.0,1.0,2.0,623.0,124.0,1938.0,6567.0,0,1,21,6
3,5.9,3.0,2.0,2.0,285.0,128.0,1900.0,6567.0,0,3,21,6
2,5.9,2.0,1.0,1.0,214.0,77.0,1890.0,6567.0,0,0,21,6
6,5.9,6.0,3.0,2.0,1014.0,435.0,1887.0,6567.0,0,0,21,6
2,5.9,2.0,1.0,1.0,226.0,92.0,1920.0,6567.0,0,3,21,6
2,5.9,2.0,1.0,1.0,269.0,109.0,1900.0,6567.0,0,1,21,6
3,5.9,3.0,1.0,1.0,417.0,168.0,1900.0,6567.0,0,1,21,6
3,5.9,3.0,1.0,2.0,350.0,125.0,1904.0,6567.0,0,1,21,6
2,5.9,2.0,1.0,1.0,330.0,124.0,1970.0,6567.0,0,1,21,6
2,5.9,2.0,1.0,1.0,118.0,79.0,1890.0,6567.0,0,0,21,6
2,5.9,2.0,1.0,1.0,173.0,102.0,1900.0,6567.0,0,3,21,6
2,5.9,2.0,1.0,2.0,228.0,90.0,1995.0,6567.0,2,1,21,6
3,5.9,4.0,1.0,2.0,594.0,148.0,1960.0,6567.0,0,1,21,6
2,5.9,2.0,1.0,1.0,0.0,124.0,1970.0,6567.0,0,1,21,6
3,5.9,3.0,1.0,0.0,317.0,124.0,1970.0,6567.0,0,1,21,6
2,5.9,2.0,1.0,1.0,226.0,87.0,1900.0,6567.0,0,0,21,6
3,5.9,3.0,2.0,2.0,229.0,124.0,2011.0,6567.0,0,1,21,6
4,5.9,4.0,1.0,1.0,300.0,185.0,1890.0,6567.0,0,3,21,6
2,5.9,2.0,1.0,1.0,170.0,124.0,1970.0,6567.0,0,1,21,6
3,5.9,3.0,1.0,1.0,487.0,131.0,1900.0,6567.0,0,1,21,6
2,5.9,2.0,1.0,0.0,255.0,124.0,1970.0,6567.0,0,1,21,6
2,5.9,2.0,1.0,1.0,0.0,124.0,2010.0,6567.0,2,4,21,6
3,5.9,3.0,1.0,2.0,431.0,124.0,1950.0,6567.0,0,1,21,6
3,5.9,3.0,2.0,2.0,440.0,120.0,1955.0,6567.0,0,0,21,6
3,5.9,3.0,2.0,2.0,532.0,147.0,1950.0,6567.0,0,1,21,6
